서비스 ID,서비스명,OPENAPI서비스명,요청주소,요청기본인자,기본샘플명,기본샘플주소,OPENAPI메타URL
OA-10169,서울시 금천구 노동조합 현황,GeumcheonListLaborUnion,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonListLaborUnion/요청위치(정수)/요청종료위치(정수)",금천구 노동조합대장 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonListLaborUnion/1/5,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10169
OA-10173,서울시 금천구 대부업 현황,GeumcheonListLoanCompany,http://openAPI.geumcheon.go.kr:8088,"/인증키/요청타입(xml,xls,json)/GeumcheonListLoanCompany/요청위치(정수)/요청종료위치(정수)",금천구 대부업등록대장 조회,http://openAPI.geumcheon.go.kr:8088/sample/xml/GeumcheonListLoanCompany/1/5,https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-10173
OA-10184,서울시 중구 위생처리업 공중위생업소 현황,JungguPublicHygieneBizTreatment,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguPublicHygieneBizTreatment/요청위치(정수)/요청종료위치(정수)",중구 공중위생업소(위생처리업) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguPublicHygieneBizTreatment/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10184
OA-10185,서울시 중구 세척제 제조업 공중위생업소 현황,JungguPublicHygieneBizCleaningProducts,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguPublicHygieneBizCleaningProducts/요청위치(정수)/요청종료위치(정수)",중구 공중위생업소(세척제제조업) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguPublicHygieneBizCleaningProducts/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10185
OA-10186,서울시 중구 기타 위생용품 제조업 공중위생업소 현황,JungguPublicHygieneBizEtcProducts,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguPublicHygieneBizEtcProducts/요청위치(정수)/요청종료위치(정수)",중구 공중위생업소(기타위생용품제조업) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguPublicHygieneBizEtcProducts/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10186
OA-10193,서울시 중구 청소년 유해업소 현황,JungguJuvenileHarmfulBiz,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguJuvenileHarmfulBiz/요청위치(정수)/요청종료위치(정수)",2012년 10월 중구 청소년유해업소현황 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguJuvenileHarmfulBiz/1/5/201210,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10193
OA-10199,서울시 중구 식품위생업소 소재지별 운영 현황 (차트),JungguFoodHygieneBizLocManageDong,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguFoodHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",중구 식품위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguFoodHygieneBizLocManageDong/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10199
OA-10200,서울시 중구 공중위생업소 소재지별 운영 현황 (차트),JungguPublicHygieneBizLocManageDong,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguPublicHygieneBizLocManageDong/요청위치(정수)/요청종료위치(정수)",중구 공중위생업소 소재지별운영현황(법정동별) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguPublicHygieneBizLocManageDong/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10200
OA-10201,서울시 중구 환경 지도점검 내역 현황(2014년-2016년),JungguListEnvGuideCheck,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguListEnvGuideCheck/요청위치(정수)/요청종료위치(정수)",중구 환경 지도점검내역 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguListEnvGuideCheck/1/5,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10201
OA-10217,서울시 중구 모범음식점 지정 현황,JungguModelRestaurantDesignate,http://openAPI.junggu.seoul.kr:8088,"/인증키/요청타입(xml,xls,json)/JungguModelRestaurantDesignate/요청위치(정수)/요청종료위치(정수)",중구 모범음식점(지정현황) 조회,http://openAPI.junggu.seoul.kr:8088/sample/xml/JungguModelRestaurantDesignate/1/5/,https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-10217
